Название|Цена|Адрес|Ссылка
2-комн. квартира, 45 м², 13/25 этаж |7 500 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, Светлановская улица, 52|https://novosibirsk.cian.ru/sale/flat/314131599/
1-комн. квартира, 72,75 м², 15/17 этаж Секция 1 • Сдача корпуса 1 кв. 2026|12 710 000 ₽|Новосибирская область, Новосибирск, р-н Центральный, м. Гагаринская, Мылзавод ЖК|https://novosibirsk.cian.ru/sale/flat/307688171/
Без обременений, опек, ипотек) 2-комн. квартира, 40 м², 2/12 этаж|6 450 000 ₽|Новосибирская область, Новосибирск, р-н Дзержинский, м. Березовая Роща, улица Кошурникова, 4|https://novosibirsk.cian.ru/sale/flat/292697765/
1-комн. квартира, 40 м², 9/18 этаж |7 800 000 ₽|Новосибирская область, Новосибирск, р-н Центральный, мкр. Ипподромский, м. Маршала Покрышкина, улица Семьи Шамшиных, 90/5|https://novosibirsk.cian.ru/sale/flat/291581257/
2-комн. квартира, 47,8 м², 16/19 этаж Секция 6 • Сдан|11 450 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, Красный проспект, 220|https://novosibirsk.cian.ru/sale/flat/312566380/
1-комн. квартира, 22,32 м², 8/28 этаж |4 000 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Площадь Гарина-Михайловского, Сухарная улица, 107/2|https://novosibirsk.cian.ru/sale/flat/298263321/
2-комн. квартира, 66 м², 11/16 этаж |9 500 000 ₽|Новосибирская область, Новосибирск, р-н Калининский, м. Маршала Покрышкина, Ипподромская улица, 44|https://novosibirsk.cian.ru/sale/flat/313217808/
2-комн. квартира, 46,45 м², 4/24 этаж Секция 2 • Сдача корпуса 4 кв. 2025|9 150 000 ₽|Новосибирская область, Новосибирск, р-н Железнодорожный, мкр. Прибрежный, м. Площадь Гарина-Михайловского, улица Прибрежная, 4/2|https://novosibirsk.cian.ru/sale/flat/301766559/
Новая большая студия 1-комн. квартира, 36,8 м², 21/25 этаж|9 900 000 ₽|Новосибирская область, Новосибирск, р-н Центральный, м. Площадь Ленина, Ядринцевская улица, 57|https://novosibirsk.cian.ru/sale/flat/304287317/
2-комн. квартира, 46,8 м², 4/10 этаж |4 500 000 ₽|Новосибирская область, Новосибирск, р-н Ленинский, мкр. Западный, м. Площадь Маркса, улица Титова, 198|https://novosibirsk.cian.ru/sale/flat/308106559/
2-комн. квартира, 29,28 м², 3/11 этаж Секция 1 • Сдача корпуса 3 кв. 2026|6 000 000 ₽|Новосибирская область, Новосибирск, р-н Ленинский, м. Площадь Маркса, 19/56 Кварталы Телецентра ЖК|https://novosibirsk.cian.ru/sale/flat/310880784/
2-комн. квартира, 54,3 м², 11/14 этаж |4 650 000 ₽|Новосибирская область, Новосибирск, р-н Кировский, м. Площадь Маркса, улица Петухова, 95/4|https://novosibirsk.cian.ru/sale/flat/313523473/
1-комн. квартира, 34,04 м², 4/21 этаж Секция 1 • Сдача корпуса 3 кв. 2025|5 300 000 ₽|Новосибирская область, Новосибирск, р-н Калининский, мкр. Родники, м. Заельцовская, улица Тюленина, 3|https://novosibirsk.cian.ru/sale/flat/311731628/
2-комн. квартира, 91,49 м², 3/15 этаж Секция 4 • Сдача корпуса 3 кв. 2025|11 700 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, мкр. Аэропорт, м. Заельцовская, улица Аэропорт, 88|https://novosibirsk.cian.ru/sale/flat/313252919/
бонус риэлтору покупателя! 2-комн. квартира, 42 м², 6/26 этаж|7 499 999 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, улица Дуси Ковальчук, 378Б|https://novosibirsk.cian.ru/sale/flat/313014438/
2-комн. квартира, 67,9 м², 13/16 этаж |11 200 000 ₽|Новосибирская область, Новосибирск, р-н Центральный, м. Октябрьская, улица Сибревкома, 7/1|https://novosibirsk.cian.ru/sale/flat/314149424/
2-комн. квартира, 38,45 м², 7/17 этаж Секция 1 • Сдача корпуса 4 кв. 2025|6 637 578 ₽|Новосибирская область, Новосибирск, р-н Дзержинский, м. Березовая Роща, Промышленная улица, 7|https://novosibirsk.cian.ru/sale/flat/306768608/
квартира у метро 1-комн. квартира, 41 м², 7/10 этаж|6 000 000 ₽|Новосибирская область, Новосибирск, р-н Дзержинский, м. Золотая Нива, улица Адриена Лежена, 10/3|https://novosibirsk.cian.ru/sale/flat/305671196/
2-комн. квартира, 45,7 м², 1/4 этаж |2 000 000 ₽|Новосибирская область, Новосибирск, р-н Кировский, м. Студенческая, 2-я Прокопьевская улица, 60|https://novosibirsk.cian.ru/sale/flat/308614440/
1-комн. квартира, 35,8 м², 2/11 этаж Секция 2 • Сдача корпуса 4 кв. 2025|4 250 000 ₽|Новосибирская область, Новосибирск, р-н Кировский, м. Студенческая, 18-й Бронный переулок, 16|https://novosibirsk.cian.ru/sale/flat/300550804/
